attraction_name;ratings;duration;cost
Marina Bay Sands SkyPark Observation Deck Admission Ticket;4 of 5;45 minutes;S$24.00
Lion City Bike Tour of Singapore;5 of 5;4 hours;S$80.00
City Sightseeing Singapore Hop-On Hop-Off Bus Tour;4 of 5;NA;S$50.22
Singapore Zoo with Transfer and Optional Breakfast with Orangutans;4 of 5;4 hours;S$61.70
Singapore Night Out: Music & Light show, Marina Bay Sands SkyPark, River Taxi;4 of 5;3 hours;S$71.89
Singapore Pub Crawl;4.5 of 5;5 hours;S$30.69
Gardens By The Bay Ticket;4 of 5;2 hours;S$22.95
Historical Battlebox Tour in Singapore;5 of 5;1-2 hours;S$20.54
Withlocals The 10 Tastings: Singapore Private Street Food Tour;5 of 5;3 hours;S$130.06
Singapore Night Safari with Priority Tram Boarding & Return Transfer;4 of 5;4-5 hours;S$70.87
Half-Day Spa Escape to Batam from Singapore with Round-Trip Ferry and Lunch Included;4.5 of 5;NA;S$166.67
Gardens By The Bay Admission Ticket;4.5 of 5;1 hour;S$23.00
F1 Street Circuit Driving Experience in Singapore;5 of 5;15 minutes;S$302.40
Virtual Room - 45-min Immersive Time Travel Adventure for 2+ Players;4.5 of 5;1 hour;S$51.25
Singapore City Tour;4 of 5;3-4 hours;S$35.95
Experience Singapore: Cultural Cooking Class;5 of 5;3 hours;S$99.00
Singapore's Chinatown Trishaw Night Tour with Transfer;4.5 of 5;4 hours;S$102.70
Small-Group Food Tour With Hawker Center: Eat Like A Local;5 of 5;5-6 hours;S$156.10
Private Original Singapore City Sightseeing Walking Tour;5 of 5;3 hours;S$110.00
Discover Sentosa & More!;5 of 5;NA;S$105.27
Private Singapore Full Day Round Island Tour with River Cruise;5 of 5;NA;S$329.10
Singapore Night out @ Marina Bay;4.5 of 5;4 hours;S$95.00
Scenic Bike Tour: Enchantment Of Marina Bay;5 of 5;2-3 hours;S$51.35
Marina Bay Night Cycling Tour;5 of 5;2 hours;S$60.00
